id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
45,45,45,LEPE,Le Pelon,éolien,CR16,2019-01-01,2033-12-31,,10,FALSE,As produced,1,,
46,46,46,LEAG,Leign ar Gasprenn,éolien,OA,2008-12-31,2022-09-30,,8,FALSE,As produced,1,,
47,47,47,LCLE,Les Clérimois,éolien,OA,2011-03-21,2022-09-30,2027-06-30,8,FALSE,As produced,1,,
48,48,48,LEPA,Les Eparmonts,éolien,OA,2008-12-31,2022-09-30,2024-06-30,12,FALSE,As produced,1,,
49,49,49,LMDB,Les Moulins de Boulay,éolien,OA,2007-12-02,2022-09-30,2024-06-30,10,FALSE,As produced,1,,
50,50,50,MELC,Ménétréols Les chênes (La vallée 3),éolien,OA,2013-12-02,2028-12-01,,4.4,FALSE,As produced,1,,
51,51,51,MELI,Ménétréols Lizeray (La vallée 4),éolien,OA,2013-12-02,2028-12-01,,3.5,FALSE,As produced,1,,
52,52,52,MERE,Ménétréols Renardiére (La vallée 2),éolien,OA,2013-12-02,2022-06-30,2022-06-30,17.5,FALSE,As produced,1,,
53,53,53,MDB1,Monts de Bagny 1,éolien,OA,2017-08-01,2032-07-31,,14.8,FALSE,As produced,1,,
54,54,54,MDB2,Monts de Bagny 2,éolien,OA,2017-08-02,2032-07-31,,15.1,FALSE,As produced,1,,
55,55,55,MORL,Morlange,éolien,OA,2016-12-01,2031-11-30,,9.6,FALSE,As produced,1,,
56,56,56,NIBA,Nibas,éolien,PPA,2021-01-01,2023-12-31,,12,FALSE,As produced,1,Auchan,France
57,57,57,NOYE,Noyers Bucamps NOB,éolien,CR16,2018-11-01,2033-10-31,,10,FALSE,As produced,1,,
58,58,58,PANN,Pannecé (BS),éolien,OA,2009-09-25,2022-09-30,2025-06-30,10,FALSE,As produced,1,,
59,59,59,PANV,Pannecé La Vallière,éolien,OA,2010-02-17,2022-09-30,2025-06-30,8,FALSE,As produced,1,,
60,60,60,XSAN,Parc du Santerre (XSAN),éolien,CR,2020-09-01,2040-08-31,,15,FALSE,As produced,1,,
61,61,61,PDO1,Pays d'Othe 1,éolien,OA,2014-10-29,2029-10-28,,8,FALSE,As produced,1,,
62,62,62,SE01,Peyrolles,solaire,CR,2021-10-01,2041-09-30,,14.66,FALSE,As produced,1,,
63,63,63,PDBE,Plaine de Beaunay,éolien,OA,2017-09-19,2032-09-18,,12.5,FALSE,As produced,1,,
64,64,64,PLAN,Plateau de Langres,éolien,OA,2009-08-12,2022-09-30,2026-07-01,12,FALSE,As produced,1,,
65,65,65,PDS1,Plateau de Savernat 1,éolien,OA,2016-11-24,2031-11-23,,12,FALSE,As produced,1,,
66,66,66,PDS2,Plateau de Savernat 2,éolien,OA,2017-05-24,2032-05-23,,4,FALSE,As produced,1,,
67,67,67,PLOU,Plouguin,éolien,PPA,2021-01-01,2023-12-31,2026-06-30,8,FALSE,As produced,1,L'Oréal,France
68,68,68,KEI3,Repowering Bougainville (BGV-R),éolien,CR17,2022-12-01,2042-11-30,,14.4,FALSE,As produced,1,,
69,69,69,GO02,Repowering Evit Et Josaphats (EEJ-R),éolien,CR17,2022-06-01,2042-05-31,,11.52,FALSE,As produced,1,,
70,70,70,GO03,Repowering Reclainville (RCL-R),éolien,CR17,2022-06-01,2042-05-31,,11.52,FALSE,As produced,1,,
71,71,71,RON1,Ronchois 1,éolien,OA,2010-08-01,2022-09-30,2026-06-30,11.6,FALSE,As produced,1,,
72,72,72,RON2,Ronchois 2,éolien,OA,2010-08-01,2022-09-30,2026-06-30,5.77,FALSE,As produced,1,,
