projet_id,site,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
,Pays d'Othe 1,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,91.1721,93.2690,93.2690
,Peyrolles solaire,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900,58.8900
,Plaine de Beaunay,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,88.7555,90.7969,90.7969
,Plateau de Langres,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,99.6402,101.9319,101.9319
,Plateau de Savernat 1,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,92.4093,92.4093
,Plateau de Savernat 2,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,90.3316,92.4093,92.4093
,Plouguin,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000,49.0000
,Repowering Bougainville,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.1200,75.1200
,Repowering Evit Et Josaphats,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.7900,73.7900,73.7900,73.7900,73.7900
,Repowering Reclainville,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,73.7900,73.7900,73.7900,73.7900,73.7900,73.7900
,Ronchois 1,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,101.0842,101.0842
,Ronchois 2,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,98.8116,101.0842,101.0842
,Ronchois 3,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,98.6479,100.9168,100.9168
,Saint André,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,97.3079,99.5460,99.5460
,Saint Christophe - Clé des champs,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,59.3340,60.6987
,SdlL1,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,97.5050,97.5050
,SdlL2,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,95.3128,97.5050,97.5050
,Seuil du Cambrésis- Ribecourt (RIB),83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,83.1626,85.0374,85.0374
,Sources de l'Ancre 1 ,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,87.8214,87.8214
,Sources de l'Ancre 2,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,85.8991,87.8214,87.8214
,St François Roye 2,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,93.1352,93.1352
,St François Roye 3,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,91.0413,93.1352,93.1352
,St Georges (La Vallée 1),91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,91.6376,93.7452,93.7452
,St Patrick Hermin,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,90.5150,92.5969,92.5969
,St Patrick Pernois 1,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,95.2034,97.3931,97.3931
,St Patrick Pernois 2,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,91.7305,93.8403,93.8403
,St Patrick Pernois 3,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,93.1441,95.2865,95.2865
,Touvent,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,90.7094,92.7957,92.7957
,Val au Moines 1,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,90.7760,90.7760
,Val au Moines 2,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,88.7350,90.7760,90.7760
,Vallée d'Arce 1 (DR),99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,99.9471,102.2459,102.2459
,Vallée d'Arce 2 (NY),100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,102.3610,102.3610
,Vallée d'Arce 3 (NU),100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,100.0596,102.3610,102.3610
,Voie des monts,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,88.6839,90.7236,90.7236
,Vron,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,91.7223,93.8319,93.8319
,Zondrange,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,90.4230,92.5027,92.5027
