asset_id,projet_id,projet,date,année,trim,mois,p50_adj,p90_adj
65,PDS1,Plateau de Savernat 1,2022-01-01,2022,Q1-22,1,3032.9611213199996,2820.3129791200004
66,PDS2,Plateau de Savernat 2,2022-01-01,2022,Q1-22,1,993.5690226800001,923.90752428
67,PLOU,Plouguin,2022-01-01,2022,Q1-22,1,2215.6495,2079.2999999999997
68,KEI3,Repowering Bougainville (BGV-R),2022-01-01,2022,Q1-22,1,,
69,GO02,Repowering Evits et Josaphats (EEJ-R),2022-01-01,2022,Q1-22,1,,
70,GO03,Repowering Remise de Reclainville (RCL-R),2022-01-01,2022,Q1-22,1,,
71,RON1,Ronchois 1,2022-01-01,2022,Q1-22,1,3049.0650340800003,2832.85559856
72,RON2,Ronchois 2,2022-01-01,2022,Q1-22,1,1511.4166189199998,1404.24194664
73,RON3,Ronchois 3,2022-01-01,2022,Q1-22,1,2956.55835696,2746.9085747999998
74,STAN,Saint André,2022-01-01,2022,Q1-22,1,2387.84472576,2187.87743232
75,AURA19,Saint Christophe (Clé des champs),2022-01-01,2022,Q1-22,1,462.35880000000003,423.84391857
76,SDI1,SdlL1,2022-01-01,2022,Q1-22,1,3137.26267831,2894.01288325
77,SDI2,SdlL2,2022-01-01,2022,Q1-22,1,1594.21249591,1470.60414221
78,SCRI,Seuil du Cambrésis- Ribecourt (RIB),2022-01-01,2022,Q1-22,1,6722.548423110001,6070.67164587
79,SDA1,Sources de l'Ancre 1 ,2022-01-01,2022,Q1-22,1,2611.3941135200002,2335.87191954
80,SDA2,Sources de l'Ancre 2,2022-01-01,2022,Q1-22,1,3533.4856601799997,3160.67571108
81,SFR2,St François Roye 2,2022-01-01,2022,Q1-22,1,3149.4780679200003,2924.9488007699997
82,SFR3,St François Roye 3,2022-01-01,2022,Q1-22,1,2975.50162869,2763.37531164
83,STGE,St Georges (La Vallée 1),2022-01-01,2022,Q1-22,1,1105.38269188,1026.13796513
84,SPH,St Patrick Hermin,2022-01-01,2022,Q1-22,1,3671.99429601,3451.17954495
85,SPP1,St Patrick Pernois 1,2022-01-01,2022,Q1-22,1,2885.3109938099997,2711.8033073700003
86,SPP2,St Patrick Pernois 2,2022-01-01,2022,Q1-22,1,2962.49000172,2784.34118256
87,SPP3,St Patrick Pernois 3,2022-01-01,2022,Q1-22,1,1461.80153094,1373.89635525
88,TOUV,Touvent,2022-01-01,2022,Q1-22,1,3615.61097115,3301.21001085
89,VAM1,Val au Moines 1,2022-01-01,2022,Q1-22,1,2901.86650035,2623.60533465
90,VAM2,Val au Moines 2,2022-01-01,2022,Q1-22,1,1370.0447838,1238.67063297
91,VAA1,Vallée d'Arce 1 (DR),2022-01-01,2022,Q1-22,1,3593.33004735,3320.3560823999997
92,VAA2,Vallée d'Arce 2 (NY),2022-01-01,2022,Q1-22,1,1781.2079090999998,1645.89514515
93,VAA3,Vallée d'Arce 3 (NU),2022-01-01,2022,Q1-22,1,3484.3107096,3219.61859775
94,VDMO,Voie des monts,2022-01-01,2022,Q1-22,1,3142.9528566,2867.69736
95,VRON,Vron ,2022-01-01,2022,Q1-22,1,2316.9064,2147.0807999999997
96,ZOND,Zondrange,2022-01-01,2022,Q1-22,1,2522.47908912,2311.3736278799997
1,ALBE,Ally Bessadous,2022-02-01,2022,Q1-22,2,2263.8404137,2064.18931704
2,ALME,Ally Mercoeur,2022-02-01,2022,Q1-22,2,1507.5778515400002,1374.62255364
3,ALMO,Ally Monteil,2022-02-01,2022,Q1-22,2,1958.07452628,1785.38933142
